"",,CIVIL ENGINEERING[Full Time]
"",Course Code,Course
MA202,,"PROBABILITY DISTRIBUTIONS, TRANSFORMS AND"
"",,NUMERICAL METHODS
CE202,,STRUCTURAL ANALYSIS I
CE204,,CONSTRUCTION TECHNOLOGY
CE206,,FLUID MECHANICS II
CE208,,GEOTECHNICAL ENGINEERING I
HS210,,LIFE SKILLS
CE232,,MATERIALS TESTING LAB I
CE234,,FLUID MECHANICS LAB
TVE17CE101,"HS210(O), MA202(O), CE202(O), CE204(O), CE206(O), CE208(O), CE232(O), CE234(O)"
TVE17CE102,"HS210(B+), MA202(O), CE202(B+), CE204(A), CE206(A+), CE208(O), CE232(A+), CE234(A)"
TVE17CE103,"HS210(B+), MA202(O), CE202(B), CE204(A+), CE206(O), CE208(A), CE232(A+), CE234(A+)"
TVE17CE104,"HS210(O), MA202(O), CE202(O), CE204(A), CE206(O), CE208(O), CE232(O), CE234(A+)"
TVE17CE105,"HS210(B), MA202(C), CE202(F), CE204(B), CE206(C), CE208(B), CE232(A+), CE234(A)"
TVE17CE106,"HS210(A), MA202(A+), CE202(A+), CE204(O), CE206(O), CE208(A), CE232(A+), CE234(A+)"
TVE17CE107,"HS210(A+), MA202(O), CE202(A+), CE204(O), CE206(O), CE208(O), CE232(O), CE234(O)"
TVE17CE108,"HS210(B), MA202(B), CE202(C), CE204(B+), CE206(C), CE208(B), CE232(A+), CE234(A+)"
TVE17CE109,"HS210(A), MA202(A), CE202(B+), CE204(B), CE206(B+), CE208(C), CE232(A), CE234(A+)"
TVE17CE110,"HS210(A), MA202(B+), CE202(B+), CE204(B+), CE206(B+), CE208(B+), CE232(O), CE234(A+)"
TVE17CE111,"HS210(B+), MA202(A), CE202(C), CE204(B+), CE206(B), CE208(B+), CE232(A+), CE234(O)"
TVE17CE112,"HS210(B+), MA202(B+), CE202(B), CE204(A), CE206(B+), CE208(A+), CE232(A+), CE234(A)"
TVE17CE115,"HS210(B), MA202(C), CE202(C), CE204(A), CE206(B), CE208(B+), CE232(O), CE234(A+)"
TVE17CE116,"HS210(B), MA202(B+), CE202(B+), CE204(B), CE206(B), CE208(B), CE232(A), CE234(B+)"
TVE17CE117,"HS210(B+), MA202(A+), CE202(B+), CE204(O), CE206(O), CE208(B+), CE232(A+), CE234(A+)"
TVE17CE118,"HS210(B), MA202(F), CE202(F), CE204(B), CE206(C), CE208(F), CE232(B+), CE234(A)"
TVE17CE119,"HS210(B), MA202(A), CE202(B), CE204(B+), CE206(B+), CE208(B), CE232(O), CE234(A)"
TVE17CE120,"HS210(A+), MA202(A+), CE202(A), CE204(A+), CE206(O), CE208(A), CE232(A+), CE234(A+)"
TVE17CE121,"HS210(B+), MA202(O), CE202(A), CE204(A+), CE206(A+), CE208(A+), CE232(A+), CE234(A)"
TVE17CE122,"HS210(A), MA202(O), CE202(A), CE204(A), CE206(A), CE208(A+), CE232(O), CE234(O)"
TVE17CE123,"HS210(A), MA202(A+), CE202(A+), CE204(O), CE206(O), CE208(O), CE232(A+), CE234(O)"
TVE17CE124,"HS210(A+), MA202(O), CE202(O), CE204(O), CE206(O), CE208(O), CE232(A+), CE234(A+)"
TVE17CE125,"HS210(B+), MA202(B), CE202(B+), CE204(B+), CE206(B+), CE208(F), CE232(A+), CE234(A+)"
TVE17CE126,"HS210(A), MA202(B+), CE202(B+), CE204(A+), CE206(B+), CE208(B+), CE232(A+), CE234(O)"
ELECTRICAL AND ELECTRONICS ENGINEERING[Full Time]
"",Course Code,Course
MA202,,"PROBABILITY DISTRIBUTIONS, TRANSFORMS AND"
"",,NUMERICAL METHODS
EE202,,SYNCHRONOUS AND INDUCTION MACHINES
EE204,,DIGITAL ELECTRONICS AND LOGIC DESIGN
EE206,,MATERIAL SCIENCE
EE208,,MEASUREMENTS AND INSTRUMENTATION
HS200,,BUSINESS ECONOMICS
EE232,,ELECTRICAL MACHINES LAB I
EE234,,CIRCUITS AND MEASUREMENTS LAB
Register No,,Course Code (Grade)
LTVE15EE120,EE202(F),
LTVE16EE132,EE208(C),
LTVE17EE129,"HS200(B), MA202(B+), EE202(B+), EE204(B), EE206(B), EE208(C), EE232(O), EE234(O)",
LTVE17EE130,"HS200(A+), MA202(B+), EE202(B+), EE204(B), EE206(B+), EE208(A+), EE232(A), EE234(A+)",
LTVE17EE131,"HS200(A), MA202(A+), EE202(A), EE204(B+), EE206(B), EE208(B+), EE232(O), EE234(O)",
LTVE17EE132,"HS200(O), MA202(O), EE202(A+), EE204(O), EE206(F), EE208(O), EE232(A+), EE234(O)",
LTVE17EE133,"HS200(B+), MA202(A), EE202(O), EE204(O), EE206(B), EE208(A+), EE232(O), EE234(O)",
LTVE17EE134,"HS200(B+), MA202(B+), EE202(B+), EE204(A), EE206(B), EE208(A), EE232(O), EE234(O)",
LTVE17EE135,"HS200(B+), MA202(F), EE202(C), EE204(C), EE206(F), EE208(B), EE232(A+), EE234(O)",
LTVE17EE136,"HS200(O), MA202(C), EE202(B+), EE204(B), EE206(B+), EE208(B+), EE232(O), EE234(O)",
LTVE17EE137,"HS200(A+), MA202(A+), EE202(A+), EE204(A), EE206(B+), EE208(A+), EE232(A+), EE234(A+)",
LTVE17EE138,"HS200(A), MA202(B+), EE202(A), EE204(B+), EE206(A), EE208(A), EE232(O), EE234(O)",
